epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7538,1.85009,2.56089,1.59351,0.37358,0.42997,0.35242,0.15666,1.80199,2.20879,1.59982,0.000369641,0.000369641,0.000369641
2,81.4303,1.76318,1.91713,1.54299,0.40627,0.42235,0.36667,0.17291,1.72877,1.9194,1.61294,0.000703346,0.000703346,0.000703346
3,118.66,1.74288,1.80042,1.53998,0.41508,0.46534,0.4003,0.185,1.73998,2.04239,1.6377,0.00100039,0.00100039,0.00100039
4,155.544,1.73187,1.73131,1.53196,0.46168,0.46582,0.42348,0.2015,1.73713,1.78168,1.59295,0.000946016,0.000946016,0.000946016
5,192.521,1.69817,1.64491,1.50183,0.55156,0.52837,0.51217,0.24906,1.67375,1.58916,1.56748,0.000891022,0.000891022,0.000891022
6,229.471,1.6715,1.57373,1.48642,0.53641,0.54286,0.52038,0.24452,1.66892,1.61934,1.54805,0.000836027,0.000836027,0.000836027
7,266.387,1.66091,1.53379,1.45946,0.54492,0.53536,0.5197,0.24802,1.66862,1.55105,1.566,0.000781033,0.000781033,0.000781033
8,303.402,1.64384,1.48946,1.4505,0.58108,0.54589,0.55653,0.2713,1.64264,1.49311,1.48076,0.000726038,0.000726038,0.000726038
9,340.299,1.63131,1.46738,1.43131,0.54641,0.54616,0.5281,0.26311,1.63692,1.50366,1.47778,0.000671044,0.000671044,0.000671044
10,377.278,1.61835,1.42209,1.41631,0.56374,0.59335,0.57508,0.28827,1.61382,1.45678,1.46558,0.000616049,0.000616049,0.000616049
11,414.126,1.60353,1.3975,1.4059,0.61002,0.59182,0.58659,0.2927,1.6062,1.36159,1.45331,0.000561055,0.000561055,0.000561055
12,451.063,1.59557,1.35979,1.39624,0.61635,0.60873,0.60343,0.30303,1.60856,1.35022,1.44434,0.00050606,0.00050606,0.00050606
13,488.15,1.58079,1.32715,1.37372,0.61111,0.60311,0.60205,0.30885,1.58802,1.36185,1.42408,0.000451066,0.000451066,0.000451066
14,524.914,1.57051,1.30867,1.36862,0.59686,0.6223,0.6144,0.31512,1.57127,1.3128,1.42762,0.000396071,0.000396071,0.000396071
15,561.841,1.56274,1.29623,1.3613,0.63127,0.62073,0.62563,0.32204,1.57858,1.28244,1.41099,0.000341077,0.000341077,0.000341077
16,599.881,1.54514,1.25464,1.37317,0.62737,0.62658,0.62209,0.32064,1.56724,1.2746,1.39742,0.000286083,0.000286083,0.000286083
17,636.14,1.53349,1.20412,1.35884,0.64482,0.64266,0.64879,0.33563,1.55534,1.22408,1.39673,0.000231088,0.000231088,0.000231088
18,672.567,1.51723,1.18164,1.35174,0.63674,0.64276,0.64863,0.33481,1.55034,1.22419,1.39255,0.000176094,0.000176094,0.000176094
19,708.998,1.50386,1.1521,1.34757,0.64615,0.65274,0.66106,0.34488,1.54526,1.21087,1.38938,0.000121099,0.000121099,0.000121099
20,745.301,1.49564,1.13659,1.33534,0.65571,0.65976,0.66718,0.34697,1.53921,1.19832,1.38246,6.61045e-05,6.61045e-05,6.61045e-05
